name,latitude,longitude,region
Sg. Ruan - Fang Goo 双溪兰 - 晓方,3.77883,101.94133,Raub 劳勿
Sg. Klau - Fang Goo 双溪吉流 - 晓方,3.71967,102.01033,Raub 劳勿
Sg. Klau 1 - CT Tan 双溪吉流 1 - CT Tan,3.717,102.0055,Raub 劳勿
Kg. Sg. Ruan - Neng 双溪兰 - 能,3.79361,101.93472,Raub 劳勿
Kg. Sg. Ruan - Jerry Phoon 双溪兰新村 - Jerry,3.79194,101.94278,Raub 劳勿
Sg. Klau - Kwong Seng 双溪吉流 - Kwong Seng,3.74833,101.95133,Raub 劳勿
Sg. Klau 2 - CT Tan 双溪吉流 2 - CT Tan,3.74417,101.96917,Raub 劳勿
Kg. Sg. Klau - Thompson 双溪吉流新村 - Thompso,3.7475,101.97694,Raub 劳勿
Kg. Sg. Klau - Soon 双溪吉流新村 - 顺,3.78392,101.98063,Raub 劳勿
Kampung Temau - Eric 甘榜德茂 - Eric,3.929,101.921,Raub 劳勿
Ulu Gali 乌鲁加里,3.84478,101.95747,Raub 劳勿
Kg. Gali 甘榜加里,3.83333,101.9,Raub 劳勿
Jerkoh 日利谷,4.04861,101.92028,Raub 劳勿
SJKC Cheroh 积罗国民型华文学校,3.90293,101.81499,Raub 劳勿
Kampung Temau - MK 甘榜德茂 - MK,3.917778,101.919444,Raub 劳勿
Dong - Hong 东区 - 鸿总,4.090556,101.966111,Raub 劳勿
Ulu Gali - Jacky Kuan 乌鲁加里 - Jacky Kuan,3.834694,101.911833,Raub 劳勿
Raub Batu Tiga - James Lye 劳勿三英里 - James,3.79275,101.903889,Raub 劳勿
Ringlet 冷力,4.41453,101.38415,Cameron 金马仑
Bertam Valley 伯坦谷,4.397,101.381,Cameron 金马仑
Habu 哈布,4.44011,101.38921,Cameron 金马仑
Tanah Rata 丹那拉打,4.47135,101.37565,Cameron 金马仑
Brinchang 碧兰璋,4.49223,101.38732,Cameron 金马仑
Kea Farm 吉亚农场,4.50436,101.40734,Cameron 金马仑
Tringkap 丁甲,4.51494,101.42771,Cameron 金马仑
Kampung Raja 甘榜拉惹,4.56709,101.40968,Cameron 金马仑
Blue Valley 蓝谷,4.58322,101.41243,Cameron 金马仑
Sungai Palas 双溪巴拉斯,4.5225,101.367,Cameron 金马仑
Cameron Valley 金马伦谷,4.4305,101.401,Cameron 金马仑
Boh Tea Plantation BOH 茶园,4.52,101.37,Cameron 金马仑
Kuala Terla Tea Estate 吉拉烈茶园,4.548,101.42,Cameron 金马仑
Kampung Taman Sedia 草莓农场,4.458,101.384,Cameron 金马仑
MARDI Cameron Highlands MARDI 农业站,4.4619,101.3838,Cameron 金马仑
Mantin Tmn Permai Jaya 文丁 中华华文小学,2.81778,101.8925,NS9 森美兰
Mantin Andalas GIO GIO 文丁 湖滨花园,2.82639,101.88028,NS9 森美兰
MANTIN DALAM 文丁达南,2.806111,101.8875,NS9 森美兰
Spg. Durian (Kg. Mentaus) 1 新邦榴莲 Pitt-猫王,3.12,102.21972,NS9 森美兰
Spg. Durian (Kg. Mentaus) 2 新邦榴莲 SAM,3.11778,102.21944,NS9 森美兰
Titi 知知港,2.8167,102.0667,NS9 森美兰
Labis - Austin 拉美士 - Austin,2.42806,103.03639,Johor 柔佛
Segamat Buloh Kasap 昔加末 巫罗加什,2.527677,102.772178,Johor 柔佛
Chaah Baru 三合港,2.148561,103.052319,Johor 柔佛
Bekok 彼咯,2.305833,103.091389,Johor 柔佛
Jementah 利民达,2.433331,102.683331,Johor 柔佛
Tenang Hot Spring 丁能 热水池,2.481236,103.05805,Johor 柔佛
Machap Baru 马接峇鲁,2.38,102.35056,Melaka 马六甲
Durian Tunggal Dam 榴梿洞葛水坝,2.3537,102.3161,Melaka 马六甲
Kg. Simpang Tebing Tinggi 德宾丁宜新村,3.87467,102.34467,Jerantut 而连突
Damak 达玛,3.949544,102.214385,Jerantut 而连突
Bukit Seladang 友联港神山,3.91313,102.35476,Jerantut 而连突
Bentong Kuala Repas 文冬兵营,3.55181,101.8852,Bentong 文冬
Bentong Happy Farm 农家乐,3.53333,101.88444,Bentong 文冬
Bentong Valley Agro Park 文冬山寨谷小舍,3.67438,101.8655,Bentong 文冬
Bentong Utara 文冬市北,3.52816,101.915014,Bentong 文冬
Bentong Bukit D.O 文冬老虎山,3.530986,101.910808,Bentong 文冬
Bentong Selatan 文冬市南,3.516833,101.897667,Bentong 文冬
Waterway Villa 水道别墅,3.44917,101.90056,Bentong 文冬
Kg. Benus 甘榜本努斯,3.50783,101.92667,Bentong 文冬
Tras 都赖,3.73622,101.80792,Bentong 文冬
Kampung Hulu Lebu 乌鲁乐布新村,3.57278,101.92611,Bentong 文冬
Kampung Lebu 甘榜乐布,3.616,101.933,Bentong 文冬
Sungai Ruan 双溪兰,3.8542814,101.9430543,Bentong Team 团队
Bentong Kuala Repas 文冬兵营,3.55181,101.8852,Bentong Team 团队
Bentong Happy Farm 农家乐,3.53333,101.88444,Bentong Team 团队
Bentong Valley Agro Park 文冬山寨谷小舍,3.67438,101.8655,Bentong Team 团队
Bentong Utara 文冬市北,3.52816,101.915014,Bentong Team 团队
Bentong Bukit D.O 文冬老虎山,3.530986,101.910808,Bentong Team 团队
Bentong Selatan 文冬市南,3.516833,101.897667,Bentong Team 团队
Borneo Spring 婆罗青泉,3.492,102.024,Karak 加叻
Kg. Sungai Dua 甘榜双溪都亚,3.45972,102.0,Karak 加叻
Kg. Cinta Manis 甘甜新村,3.453,102.031,Karak 加叻
Kg. Troh 德乐新村,3.41194,102.07889,Karak 加叻
The Valley 加叻幽谷,3.38389,102.02778,Karak 加叻
100% ORGANIC DURI RIN 山本绫有机农场,3.45227,101.99607,Karak 加叻
Manchis 文积,3.205,102.164,Manchis 文积
Kg. Ponson - Gan Ming Keong 彭顺村 - 颜明强,3.229722,102.156111,Manchis 文积
Batu 36 三十六碑,3.240556,102.141111,Manchis 文积
Chenderiang 积莪营,4.256043,101.227729,Perak 霹雳
Sungkai 宋溪,3.978889,101.360278,Perak 霹雳
Diamond Creeks 钻石溪,3.7755,101.52567,Perak 霹雳
Tanjung Malim 丹绒马林,3.71778,101.55278,Perak 霹雳
Kampung Belengu 甘榜柏伦古,3.436161,102.294602,Pahang Central 彭亨中部
Kampung Ketam 甘榜吉胆,3.54,102.36778,Pahang Central 彭亨中部
Kampung Gantok 甘榜甘督,3.505847,102.360318,Pahang Central 彭亨中部
Jambu Rias BIGWOOD 占布里亚斯 大木,3.467919,102.094837,Pahang Central 彭亨中部
Lojing 罗京高原,4.7443608,101.6416756,Kelantan 吉兰丹
Kuala Krai 瓜拉吉赖,5.456499,102.3308,Kelantan 吉兰丹
Gua Musang 话望生,4.884279,101.968178,Kelantan 吉兰丹
Lubok Palaei 鲁柏巴莱,2.430879,111.947151,Sabah/Sarawak 东马
Sibintek 西宾德,2.33837,112.08403,Sabah/Sarawak 东马
Keningau 根地咬,5.35528,116.14472,Sabah/Sarawak 东马
Kionsom 建山,5.99417,116.18222,Sabah/Sarawak 东马
Mengkarak 明加叻,3.32,102.43,Bera 百乐县
Kemasul 金马苏,3.297,102.395,Bera 百乐县
Triang 直凉,3.248,102.417,Bera 百乐县
Palm Glove 直凉园 金河山庄,3.2305389,102.3951267,Bera 百乐县
Paya Lang 巴也郎,3.18194,102.43667,Bera 百乐县
Simpang Bukit Mendi 明光,3.165721,102.386012,Bera 百乐县
Bukit Mendi 武吉文迪,3.17474,102.350563,Bera 百乐县
Kemayan Taman Maju Jaya 金马扬 1,3.124265,102.363199,Bera 百乐县
Kemayan Taman Ixnora Jaya 金马扬 2,3.141841,102.363953,Bera 百乐县
Sungai Rui 双溪锐,3.09639,102.35861,Bera 百乐县
Lanchang (Durian) 联增,3.42925,102.13928,Miketam 苏晓薇
Draha (Durian) 德拉哈,3.40339,102.283,Miketam 苏晓薇
Jambu Rias 占布里亚斯,3.39956,102.14848,Miketam 苏晓薇
Empresa 皇后园,3.36379,102.2608,Miketam 苏晓薇
Mentakab 文德甲,3.37169,102.31093,Miketam 苏晓薇
Mengkarak 明加叻,3.32936,102.31455,Miketam 苏晓薇
Kuala Lipis 瓜拉立卑,4.124748,102.088034,Miketam 苏晓薇
Kampung Chapu 甘榜查布,5.1775,102.895,Desmond 陈联铕
Kuala Berang 瓜拉伯浪,5.1725,102.53333,Desmond 陈联铕
Sungkai 宋溪,3.978889,101.360278,Desmond 陈联铕
Tanjung Malim 丹绒马林,3.71778,101.55278,Uncle Soon 順豪
Sungai Lembing 林明,3.85,103.03333,Uncle Soon 順豪
